"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"15","Jaccob Slavin","D","68","1591.5833333333","1535","1379","52.68","1209","1062","53.24","899","764","54.06","90","79","53.25","84.63","71.25","54.29","751","667","52.96","335","281","54.38","55","48","53.40","416","386","51.87","24","20","54.55","651","584","52.71","9","9","50.00","10.01","89.66","0.997","230","324","306","1026","42.91","529","492","613","46.32"
"22","Sebastian Aho","C, R","68","1320.8166666667","1564","1019","60.55","1188","824","59.05","878","589","59.85","93","66","58.49","89.83","63.4","58.62","799","528","60.21","350","241","59.22","57","41","58.16","449","287","61.01","23","18","56.10","663","402","62.25","11","5","68.75","10.59","88.79","0.994","300","198","101","998","74.81","550","313","228","70.69"
"12","Teuvo Teravainen","L","68","1305.1333333333","1539","963","61.51","1163","765","60.32","846","550","60.60","95","53","64.19","90.06","56.71","61.36","770","487","61.26","346","210","62.23","58","31","65.17","424","277","60.49","23","16","58.97","665","385","63.33","11","4","73.33","11.23","90.36","1.016","316","230","128","901","71.17","564","343","275","67.22"
"27","Andrei Svechnikov","R","68","1138.1833333333","1472","834","63.83","1124","659","63.04","831","480","63.39","92","53","63.45","83.16","44.56","65.11","755","404","65.14","357","185","65.87","60","35","63.16","398","219","64.51","19","10","65.52","637","344","64.93","11","6","64.71","11.07","88.96","1.000","306","249","128","741","70.51","547","348","284","65.82"
"10","Dougie Hamilton","D","47","1094.35","1266","848","59.89","982","649","60.21","714","465","60.56","80","43","65.04","75.32","44.13","63.05","618","391","61.25","274","166","62.27","46","24","65.71","344","225","60.46","23","12","65.71","550","374","59.52","8","5","61.54","11.20","90.75","1.020","217","208","193","688","52.93","479","318","389","55.18"
"3","Jake Gardiner","D","68","1132.8833333333","1235","856","59.06","912","674","57.50","625","504","55.36","49","56","46.67","58.67","46.41","55.83","611","432","58.58","275","209","56.82","32","35","47.76","336","223","60.11","14","14","50.00","522","338","60.70","3","7","30.00","7.84","88.89","0.967","198","205","80","932","71.22","406","312","238","63.04"
"2","Jordan Staal","C","68","1190.4666666667","1176","1047","52.90","888","809","52.33","614","579","51.47","50","59","45.87","63.8","55.11","53.65","593","504","54.06","280","218","56.22","38","39","49.35","313","286","52.25","9","10","47.37","483","448","51.88","1","9","10.00","8.14","89.81","0.980","188","325","327","781","36.50","347","459","588","37.11"
"16","Brett Pesce","D","61","1334.8","1171","1312","47.16","882","1032","46.08","638","755","45.80","59","70","45.74","57","74.72","43.27","603","666","47.52","270","305","46.96","36","40","47.37","333","361","47.98","14","18","43.75","463","553","45.57","8","12","40.00","9.25","90.73","1.000","152","264","232","957","39.58","336","412","496","40.38"
"5","Nino Niederreiter","R","67","992.61666666667","1086","713","60.37","812","563","59.05","551","409","57.40","50","37","57.47","49.12","37.24","56.88","529","357","59.71","217","160","57.56","26","22","54.17","312","197","61.30","16","11","59.26","491","274","64.18","8","4","66.67","9.07","90.95","1.000","199","201","116","761","63.17","338","305","257","56.81"
"9","Joel Edmundson","D","68","1253.85","1033","1262","45.01","783","969","44.69","576","728","44.17","51","61","45.54","46.26","67.7","40.60","484","658","42.38","206","306","40.23","28","40","41.18","278","352","44.13","11","11","50.00","457","516","46.97","10","10","50.00","8.85","91.62","1.005","141","286","260","935","35.16","322","447","518","38.33"
"19","Warren Foegele","L","68","932.25","914","820","52.71","709","646","52.32","519","473","52.32","46","45","50.55","48.21","39.22","55.15","470","385","54.97","218","173","55.75","34","28","54.84","252","212","54.31","7","7","50.00","366","365","50.07","5","10","33.33","8.86","90.49","0.993","139","273","121","785","53.46","272","375","293","48.14"
"25","Martin Necas","C","64","906.68333333333","902","688","56.73","677","534","55.90","477","419","53.24","48","37","56.47","41.07","35.62","53.55","428","337","55.95","164","163","50.15","24","24","50.00","264","174","60.27","16","8","66.67","398","278","58.88","8","5","61.54","10.06","91.17","1.012","199","190","105","689","65.46","338","276","242","58.28"
"7","Ryan Dzingel","C","64","905.88333333333","887","681","56.57","667","524","56.00","479","388","55.25","51","26","66.23","44.51","33.65","56.94","418","325","56.26","174","155","52.89","27","18","60.00","244","170","58.94","16","7","69.57","401","279","58.97","8","1","88.89","10.65","93.30","1.039","214","183","94","657","69.48","355","269","245","59.17"
"14","Brock McGinn","L","68","897.73333333333","758","906","45.55","567","684","45.32","401","483","45.36","28","48","36.84","32.74","46.56","41.28","340","446","43.26","146","200","42.20","17","28","37.78","194","246","44.09","7","12","36.84","328","398","45.18","3","8","27.27","6.98","90.06","0.970","132","208","262","688","33.50","241","276","448","34.98"
"20","Lucas Wallmark","C","60","768.55","695","689","50.22","516","506","50.49","379","386","49.54","35","31","53.03","34.19","31.46","52.08","306","298","50.66","131","140","48.34","18","17","51.43","175","158","52.55","11","11","50.00","315","324","49.30","6","3","66.67","9.23","91.97","1.012","140","170","151","625","48.11","233","240","313","42.67"
"4","Erik Haula","L","41","650.13333333333","662","533","55.40","507","420","54.69","363","310","53.94","39","26","60.00","36.42","32.27","53.02","325","271","54.53","152","129","54.09","24","14","63.16","173","142","54.92","9","4","69.23","279","207","57.41","5","7","41.67","10.74","91.61","1.024","152","126","93","441","62.04","281","185","196","58.91"
