"","Player","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"27","Andrei Svechnikov","R","20","2000-03-26","Barnual","","RUS","RUS","74","195","2018","CAR","1","2","2"
"11","Brady Skjei","D","26","1994-03-26","Lakeville","MN","USA","USA","75","210","2012","NYR","1","28","28"
"16","Brett Pesce","D","25","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"6","Brian Gibbons","C","32","1988-02-26","Braintree","MA","USA","USA","68","175","-","-","-","-","-"
"14","Brock McGinn","L","26","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"21","Clark Bishop","C","24","1996-03-29","St. John's","NL","CAN","CAN","72","199","2014","CAR","5","7","127"
"10","Dougie Hamilton","D","26","1993-06-17","Toronto","ON","CAN","CAN","78","229","2011","BOS","1","9","9"
"26","Eetu Luostarinen","C","21","1998-09-02","Siilinjarvi","","FIN","FIN","75","184","2017","CAR","2","11","42"
"4","Erik Haula","L","29","1991-03-23","Pori","","FIN","FIN","72","193","2009","MIN","7","1","182"
"18","Haydn Fleury","D","23","1996-07-08","Carlyle","SK","CAN","CAN","75","208","2014","CAR","1","7","7"
"15","Jaccob Slavin","D","25","1994-05-01","Denver","CO","USA","USA","75","207","2012","CAR","4","29","120"
"3","Jake Gardiner","D","29","1990-07-04","Minnetonka","MN","USA","USA","74","203","2008","ANA","1","17","17"
"9","Joel Edmundson","D","26","1993-06-28","Brandon","MB","CAN","CAN","76","215","2011","STL","2","16","46"
"13","Jordan Martinook","L","27","1992-07-25","Brandon","MB","CAN","CAN","72","196","2012","PHX","2","28","58"
"2","Jordan Staal","C","31","1988-09-10","Thunder Bay","ON","CAN","CAN","76","220","2006","PIT","1","2","2"
"23","Julien Gauthier","R","22","1997-10-15","Pointe-aux-Trembles","QC","CAN","CAN","76","227","2016","CAR","1","21","21"
"1","Justin Williams","R","38","1981-10-04","Cobourg","ON","CAN","CAN","73","184","2000","PHI","1","28","28"
"20","Lucas Wallmark","C","24","1995-09-05","Umea","","SWE","SWE","72","178","2014","CAR","4","7","97"
"25","Martin Necas","C","21","1999-01-15","Nove Mesto na Morave","","CZE","CZE","73","189","2017","CAR","1","12","12"
"24","Morgan Geekie","C","21","1998-07-20","Strathclair","MB","CAN","CAN","74","192","2017","CAR","3","5","67"
"5","Nino Niederreiter","R","27","1992-09-08","Chur","","CHE","CHE","74","218","2010","NYI","1","5","5"
"7","Ryan Dzingel","C","28","1992-03-09","Wheaton","IL","USA","USA","72","190","2011","OTT","7","23","204"
"22","Sebastian Aho","C, R","22","1997-07-26","Rauma","","FIN","FIN","71","176","2015","CAR","2","5","35"
"12","Teuvo Teravainen","L","25","1994-09-11","Helsinki","","FIN","FIN","71","191","2012","CHI","1","18","18"
"17","Trevor van Riemsdyk","D","28","1991-07-24","Middletown","NJ","USA","USA","74","192","-","-","-","-","-"
"8","Vincent Trocheck","C","26","1993-07-11","Pittsburgh","PA","USA","USA","70","183","2011","FLA","3","3","64"
"19","Warren Foegele","L","24","1996-04-01","Markham","ON","CAN","CAN","74","198","2014","CAR","3","7","67"
